# D_loss, G_loss
1.372719049453735352e+00,6.726323366165161133e-01
1.376691460609436035e+00,6.746473908424377441e-01
1.366344213485717773e+00,6.718242168426513672e-01
1.371867179870605469e+00,6.741511821746826172e-01
1.370223760604858398e+00,6.661052703857421875e-01
1.372871398925781250e+00,6.732993125915527344e-01
1.373401403427124023e+00,6.707582473754882812e-01
1.376873373985290527e+00,6.732604503631591797e-01
1.366436004638671875e+00,6.731315851211547852e-01
1.377731680870056152e+00,6.679030060768127441e-01
1.363933920860290527e+00,6.636689901351928711e-01
1.382749795913696289e+00,6.651549935340881348e-01
1.367152690887451172e+00,6.695884466171264648e-01
1.381585121154785156e+00,6.720587611198425293e-01
1.373075246810913086e+00,6.592661142349243164e-01
1.383341550827026367e+00,6.682077646255493164e-01
1.386011123657226562e+00,6.645839810371398926e-01
1.376297235488891602e+00,6.631194949150085449e-01
1.377733945846557617e+00,6.680390238761901855e-01
1.385229110717773438e+00,6.615347862243652344e-01
1.373464822769165039e+00,6.621024608612060547e-01
1.357762336730957031e+00,6.671270132064819336e-01
1.363718509674072266e+00,6.637082099914550781e-01
1.369228243827819824e+00,6.665925383567810059e-01
1.387311816215515137e+00,6.511671543121337891e-01
1.396285772323608398e+00,6.594471931457519531e-01
1.382982254028320312e+00,6.532734036445617676e-01
1.365984916687011719e+00,6.664323806762695312e-01
1.386347770690917969e+00,6.587020754814147949e-01
1.371871590614318848e+00,6.598540544509887695e-01
1.383085727691650391e+00,6.578025817871093750e-01
1.372278571128845215e+00,6.658076047897338867e-01
1.389769315719604492e+00,6.555820703506469727e-01
1.379976034164428711e+00,6.646718382835388184e-01
1.369322538375854492e+00,6.654428839683532715e-01
1.380070209503173828e+00,6.573231220245361328e-01
1.391319513320922852e+00,6.554642319679260254e-01
1.390401124954223633e+00,6.535156965255737305e-01
1.386385440826416016e+00,6.524860858917236328e-01
1.378672838211059570e+00,6.657894253730773926e-01
1.380877733230590820e+00,6.565204858779907227e-01
1.374976158142089844e+00,6.699386835098266602e-01
1.382414698600769043e+00,6.603308916091918945e-01
1.372646570205688477e+00,6.668658256530761719e-01
1.368650913238525391e+00,6.619641184806823730e-01
1.374719142913818359e+00,6.629698276519775391e-01
1.392336010932922363e+00,6.494238376617431641e-01
1.371455073356628418e+00,6.611186265945434570e-01
1.372423171997070312e+00,6.522200107574462891e-01
1.378669500350952148e+00,6.581044793128967285e-01
